timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1708370160678,142,MyFirstHTTPTest,200,OK,Thread Group 1-1,text,true,,1929,128,1,1,https://reqres.in/api/users?page=2,142,0,129
1708370161677,141,MyFirstHTTPTest,200,OK,Thread Group 1-2,text,true,,1929,128,1,1,https://reqres.in/api/users?page=2,141,0,127
1708370162679,133,MyFirstHTTPTest,200,OK,Thread Group 1-3,text,true,,1929,128,1,1,https://reqres.in/api/users?page=2,130,0,120
1708370163678,132,MyFirstHTTPTest,200,OK,Thread Group 1-4,text,true,,1929,128,1,1,https://reqres.in/api/users?page=2,132,0,121
1708370164678,138,MyFirstHTTPTest,200,OK,Thread Group 1-5,text,true,,1929,128,1,1,https://reqres.in/api/users?page=2,138,0,128
